tweet_id,user_posted,content,date_posted,photos,tweet_url,tagged_users,replies,reposts,likes,views,hashtags
1855418734187287000,IanMalcolm84,"@DanBilzerian Was this group ALWAYS the ""genocidal ones""?

After all, wasn't it JEWS who were overwhelmingly overrepresented amongst the Bolsheviks in Russia who commit mass genocide on tens of millions of white Christian Russians?",2024-11-10 01:14:32+00:00,[],https://x.com/IanMalcolm84/status/1855418734187286924,['https://x.com/DanBilzerian'],98,235,3895,173699,[]
1854906733006651600,IanMalcolm84,"Jews are 2% of the US but, demonstrably, are overrepresented across almost all power structures. Why?",2024-11-08 15:20:02+00:00,['https://pbs.twimg.com/media/Gb3z17wWYAAOUyM.jpg'],https://x.com/IanMalcolm84/status/1854906733006651688,[],637,2335,11804,637155,[]
1876177171976462300,IanMalcolm84,"@elonmusk Who are the tyrants?

Starmer is married to a JEW
He has JEWISH kids
His top donors were mostly JEWS

In America, Biden's kids all married JEWS
So did most of Trumps, Bush, & Clinton

JEWS made up 66% of Bidens cabinet

WTF is happening?",2025-01-06 08:01:10+00:00,[],https://x.com/IanMalcolm84/status/1876177171976462374,['https://x.com/elonmusk'],175,606,4261,83095,[]
1845432006072479700,IanMalcolm84,"@MarioNawfal Imagine a system that can't (or won't) assist in recovering his daughter from a pedophilic kidnapper BUT will arrest him for heroically finding his daughter and killing this perverted stalker 

That's where the American legal system is at this point",2024-10-13 11:50:51+00:00,[],https://x.com/IanMalcolm84/status/1845432006072479817,['https://x.com/MarioNawfal'],176,1250,23142,412679,[]
1852409123842994400,IanMalcolm84,"@DanBilzerian @KimDotcom What type of religion could say crap like the below? 

Is this not bigoted & genocidal?",2024-11-01 17:55:25+00:00,[],https://x.com/IanMalcolm84/status/1852409123842994334,"['https://x.com/DanBilzerian', 'https://x.com/KimDotcom']",55,810,3635,344963,[]
1846882740651565600,IanMalcolm84,"This quote is offensive; it upsets my sensibilities. But, it was written by a Nobel Prize winning humanitarian & explorer

Perhaps it's worth reading & considering?",2024-10-17 11:55:33+00:00,['https://pbs.twimg.com/media/GaFyECVWIAAoBxP.jpg'],https://x.com/IanMalcolm84/status/1846882740651565461,[],190,561,4447,150486,[]
1838960244883382500,IanMalcolm84,"Biden's kids all married Russians
Trump's kids almost all married Russians
Kamala married a Russian
Russians are 66% of Bidens cabinet
Russians are 33% richest Americans
Russians earn 300% average Americans
Russians fund trump & Harris
Russians own big tech

Oh wait, I mean JEWS!",2024-09-25 15:14:23+00:00,['https://pbs.twimg.com/media/GYVMl5AW8AAb3ZY.jpg'],https://x.com/IanMalcolm84/status/1838960244883382524,[],436,4128,20879,925259,[]
1847645646741799400,IanMalcolm84,"@RedPillSayian Why do black American men, aged 16-36, who make up only 2% of America, cause over 50% of ALL violent crimes?

That's a 25x overrepresentation

Why is this tolerated?
Why is the media silent on this?
Why are whites not furious & tired of it?
Why is it ""racist"" to be angered by it?",2024-10-19 14:27:04+00:00,[],https://x.com/IanMalcolm84/status/1847645646741799314,['https://x.com/RedPillSayian'],160,412,3879,257201,[]
1836505740493885400,IanMalcolm84,"Is this a real quote from Grant?

H/T @zerodelta144",2024-09-18 20:41:03+00:00,['https://pbs.twimg.com/media/GXyUPMRWgAAKGxI.jpg'],https://x.com/IanMalcolm84/status/1836505740493885451,['https://x.com/zerodelta144'],176,717,5780,274897,[]
1840516621028221000,IanMalcolm84,"Serious question: 

Why are so few BLACKS aware that JEWS disproportionately ran the SLAVE TRADE?",2024-09-29 22:18:52+00:00,[],https://x.com/IanMalcolm84/status/1840516621028221004,[],264,2219,5812,164338,[]
